,order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
191,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P0264,BRAND_A,24,159000,3816000
192,1612978,2019-01-01,18102,Yogyakarta,Yogyakarta,P0413,BRAND_B,1008,821000,827568000
196,1612453,2019-01-01,14733,Jakarta Pusat,DKI Jakarta,P3442,BRAND_S,24,590000,14160000
197,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P3218,BRAND_S,1,2987000,2987000
202,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P2880,BRAND_R,1,450000,450000
203,1612468,2019-01-01,17017,Jakarta Selatan,DKI Jakarta,P3020,BRAND_R,10,590000,5900000
204,1612819,2019-01-01,15002,Bogor,Jawa Barat,P0601,BRAND_B,2,1500000,3000000
205,1612825,2019-01-01,15024,Yogyakarta,Yogyakarta,P1114,BRAND_D,1,2795000,2795000
206,1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P3747,BRAND_T,12,450000,5400000
207,1612804,2019-01-01,17287,Jakarta Pusat,DKI Jakarta,P3574,BRAND_S,1,450000,450000
209,1612786,2019-01-01,13569,Jakarta Timur,DKI Jakarta,P1417,BRAND_F,1,1500000,1500000
214,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P2449,BRAND_P,1,1045000,1045000
220,1612846,2019-01-01,15898,Jakarta Pusat,DKI Jakarta,P1105,BRAND_D,5,2795000,13975000
221,1612870,2019-01-01,15858,Bandung,Jawa Barat,P3236,BRAND_S,1,4475000,4475000
224,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P1237,BRAND_E,1,1745000,1745000
225,1612468,2019-01-01,17017,Jakarta Selatan,DKI Jakarta,P0174,BRAND_A,12,450000,5400000
228,1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1318,BRAND_F,4,1325000,5300000
231,1612786,2019-01-01,13569,Jakarta Timur,DKI Jakarta,P2865,BRAND_R,1,1045000,1045000
241,1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1303,BRAND_F,12,520000,6240000
246,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P1438,BRAND_F,1,1325000,1325000
249,1612378,2019-01-01,17470,Jakarta Pusat,DKI Jakarta,P0041,BRAND_A,12,310000,3720000
250,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P2190,BRAND_M,8,520000,4160000
251,1612870,2019-01-01,15858,Bandung,Jawa Barat,P0811,BRAND_C,2,1745000,3490000
252,1612570,2019-01-01,14176,Jakarta Selatan,DKI Jakarta,P3734,BRAND_T,12,450000,5400000
255,1612795,2019-01-01,14135,Bogor,Jawa Barat,P1800,BRAND_H,4,1640000,6560000
263,1612396,2019-01-01,17735,Malang,Jawa Timur,P3699,BRAND_T,10,450000,4500000
267,1612453,2019-01-01,14733,Jakarta Pusat,DKI Jakarta,P4075,BRAND_W,12,904000,10848000
274,1612870,2019-01-01,15858,Bandung,Jawa Barat,P3233,BRAND_S,1,4475000,4475000
279,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P2761,BRAND_P,12,590000,7080000
282,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P3484,BRAND_S,1,800000,800000
290,1621447,2019-01-02,14672,Jakarta Selatan,DKI Jakarta,P0171,BRAND_A,1,1325000,1325000
292,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P2430,BRAND_P,5,450000,2250000
296,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P1525,BRAND_G,3,1395000,4185000
297,1621480,2019-01-02,14867,Bogor,Jawa Barat,P0255,BRAND_A,24,604000,14496000
304,1621414,2019-01-02,15601,Surakarta,Jawa Tengah,P0219,BRAND_A,8,1045000,8360000
305,1621240,2019-01-02,15194,Jakarta Selatan,DKI Jakarta,P1907,BRAND_J,10,695000,6950000
306,1621468,2019-01-02,13593,Jakarta Selatan,DKI Jakarta,P3006,BRAND_R,1,1745000,1745000
309,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P3345,BRAND_S,6,520000,3120000
311,1621468,2019-01-02,13593,Jakarta Selatan,DKI Jakarta,P2567,BRAND_P,2,3494000,6988000
312,1621489,2019-01-02,15485,Jakarta Selatan,DKI Jakarta,P1229,BRAND_E,25,159000,3975000
313,1621381,2019-01-02,15607,Bandung,Jawa Barat,P3494,BRAND_S,24,79000,1896000
314,1621468,2019-01-02,13593,Jakarta Selatan,DKI Jakarta,P1174,BRAND_E,6,310000,1860000
317,1621480,2019-01-02,14867,Bogor,Jawa Barat,P0937,BRAND_C,2,4475000,8950000
323,1621222,2019-01-02,16839,Surabaya,Jawa Timur,P0234,BRAND_A,72,383000,27576000
325,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P4009,BRAND_W,32,904000,28928000
326,1621420,2019-01-02,17284,Bogor,Jawa Barat,P0135,BRAND_A,3,159000,477000
327,1621447,2019-01-02,14672,Jakarta Selatan,DKI Jakarta,P0886,BRAND_C,16,240000,3840000
328,1621480,2019-01-02,14867,Bogor,Jawa Barat,P2806,BRAND_P,12,695000,8340000
330,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P2396,BRAND_P,6,695000,4170000
336,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P1267,BRAND_F,12,1045000,12540000
347,1621207,2019-01-02,16567,Jakarta Selatan,DKI Jakarta,P2512,BRAND_P,12,310000,3720000
349,1621468,2019-01-02,13593,Jakarta Selatan,DKI Jakarta,P0544,BRAND_B,12,450000,5400000
352,1621417,2019-01-02,18179,Jakarta Pusat,DKI Jakarta,P1470,BRAND_F,48,310000,14880000
354,1621261,2019-01-02,12829,Jakarta Selatan,DKI Jakarta,P0248,BRAND_A,120,79000,9480000
356,1621420,2019-01-02,17284,Bogor,Jawa Barat,P3332,BRAND_S,2,1045000,2090000
360,1621240,2019-01-02,15194,Jakarta Selatan,DKI Jakarta,P2302,BRAND_N,6,1045000,6270000
361,1621480,2019-01-02,14867,Bogor,Jawa Barat,P1951,BRAND_L,6,904000,5424000
367,1621216,2019-01-02,14828,Bekasi,Jawa Barat,P2924,BRAND_R,100,264000,26400000
371,1621216,2019-01-02,14828,Bekasi,Jawa Barat,P3631,BRAND_S,100,264000,26400000
374,1621420,2019-01-02,17284,Bogor,Jawa Barat,P0875,BRAND_C,3,534000,1602000
375,1621237,2019-01-02,13842,Jakarta Selatan,DKI Jakarta,P1742,BRAND_H,12,590000,7080000
377,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P0330,BRAND_B,12,450000,5400000
379,1621447,2019-01-02,14672,Jakarta Selatan,DKI Jakarta,P0709,BRAND_C,1,520000,520000
382,1621228,2019-01-02,16019,Malang,Jawa Timur,P2968,BRAND_R,16,3844000,61504000
384,1621207,2019-01-02,16567,Jakarta Selatan,DKI Jakarta,P3735,BRAND_T,48,205000,9840000
385,1621228,2019-01-02,16019,Malang,Jawa Timur,P3006,BRAND_R,2,1745000,3490000
386,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P2968,BRAND_R,16,3844000,61504000
390,1621240,2019-01-02,15194,Jakarta Selatan,DKI Jakarta,P1742,BRAND_H,12,590000,7080000
392,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P1440,BRAND_F,12,383000,4596000
394,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P1546,BRAND_G,3,590000,1770000
395,1621420,2019-01-02,17284,Bogor,Jawa Barat,P3497,BRAND_S,3,86000,258000
397,1621420,2019-01-02,17284,Bogor,Jawa Barat,P1240,BRAND_E,2,2095000,4190000
398,1621234,2019-01-02,16551,Bogor,Jawa Barat,P2446,BRAND_P,48,205000,9840000
401,1621447,2019-01-02,14672,Jakarta Selatan,DKI Jakarta,P3912,BRAND_V,1,3494000,3494000
402,1621420,2019-01-02,17284,Bogor,Jawa Barat,P2901,BRAND_R,3,450000,1350000
404,1621234,2019-01-02,16551,Bogor,Jawa Barat,P1585,BRAND_G,20,310000,6200000
411,1621420,2019-01-02,17284,Bogor,Jawa Barat,P1691,BRAND_H,3,520000,1560000
412,1621420,2019-01-02,17284,Bogor,Jawa Barat,P3574,BRAND_S,4,450000,1800000
416,1621240,2019-01-02,15194,Jakarta Selatan,DKI Jakarta,P0571,BRAND_B,25,159000,3975000
419,1621237,2019-01-02,13842,Jakarta Selatan,DKI Jakarta,P0937,BRAND_C,2,4475000,8950000
423,1621426,2019-01-02,15311,Bogor,Jawa Barat,P1494,BRAND_G,3,450000,1350000
424,1621387,2019-01-02,16779,Jakarta Pusat,DKI Jakarta,P2797,BRAND_P,6,1045000,6270000
425,1621387,2019-01-02,16779,Jakarta Pusat,DKI Jakarta,P3360,BRAND_S,6,1045000,6270000
430,1621420,2019-01-02,17284,Bogor,Jawa Barat,P3377,BRAND_S,4,450000,1800000
431,1621246,2019-01-02,16889,Jakarta Pusat,DKI Jakarta,P3391,BRAND_S,4,1045000,4180000
433,1621417,2019-01-02,18179,Jakarta Pusat,DKI Jakarta,P2900,BRAND_R,6,1045000,6270000
435,1621420,2019-01-02,17284,Bogor,Jawa Barat,P1730,BRAND_H,3,450000,1350000
439,1621420,2019-01-02,17284,Bogor,Jawa Barat,P2625,BRAND_P,1,450000,450000
440,1621393,2019-01-02,14298,Yogyakarta,Yogyakarta,P0369,BRAND_B,24,383000,9192000
442,1621234,2019-01-02,16551,Bogor,Jawa Barat,P1050,BRAND_D,24,450000,10800000
443,1621414,2019-01-02,15601,Surakarta,Jawa Tengah,P1214,BRAND_E,12,450000,5400000
446,1621378,2019-01-02,16191,Bandung,Jawa Barat,P2069,BRAND_L,36,747000,26892000
447,1621240,2019-01-02,15194,Jakarta Selatan,DKI Jakarta,P1865,BRAND_J,12,310000,3720000
450,1621420,2019-01-02,17284,Bogor,Jawa Barat,P0369,BRAND_B,3,450000,1350000
451,1621420,2019-01-02,17284,Bogor,Jawa Barat,P1014,BRAND_D,3,310000,930000
454,1621234,2019-01-02,16551,Bogor,Jawa Barat,P0573,BRAND_B,20,310000,6200000
457,1629499,2019-01-03,13488,Surabaya,Jawa Timur,P2933,BRAND_R,5,1045000,5225000
462,1629598,2019-01-03,13102,Bogor,Jawa Barat,P0010,BRAND_S,6,1045000,6270000
468,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P3669,BRAND_S,1,3494000,3494000
469,1629751,2019-01-03,13911,Jakarta Selatan,DKI Jakarta,P2445,BRAND_P,24,205000,4920000
472,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P1237,BRAND_E,3,1745000,5235000
474,1629562,2019-01-03,14778,Semarang,Jawa Tengah,P2865,BRAND_R,6,1045000,6270000
475,1629736,2019-01-03,16725,Jakarta Pusat,DKI Jakarta,P2940,BRAND_R,2,904000,1808000
476,1629508,2019-01-03,13694,Semarang,Jawa Tengah,P3412,BRAND_S,32,1325000,42400000
477,1629727,2019-01-03,15090,Yogyakarta,Yogyakarta,P2427,BRAND_P,12,310000,3720000
478,1629697,2019-01-03,13113,Surakarta,Jawa Tengah,P2488,BRAND_P,8,1045000,8360000
480,1629520,2019-01-03,13871,Yogyakarta,Yogyakarta,P3006,BRAND_R,3,1745000,5235000
481,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P0862,BRAND_C,2,4475000,8950000
483,1629511,2019-01-03,17334,Malang,Jawa Timur,P3583,BRAND_S,24,159000,3816000
486,1629727,2019-01-03,15090,Yogyakarta,Yogyakarta,P3391,BRAND_S,6,1045000,6270000
487,1629739,2019-01-03,17315,Jakarta Selatan,DKI Jakarta,P1063,BRAND_D,1,3144000,3144000
488,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P2738,BRAND_P,5,1045000,5225000
489,1629736,2019-01-03,16725,Jakarta Pusat,DKI Jakarta,P2929,BRAND_R,1,1045000,1045000
493,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P3255,BRAND_S,3,1745000,5235000
495,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P3065,BRAND_R,4,450000,1800000
497,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P3682,BRAND_T,4,695000,2780000
498,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P2930,BRAND_R,10,450000,4500000
499,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P3350,BRAND_S,12,450000,5400000
501,1629766,2019-01-03,13050,Jakarta Timur,DKI Jakarta,P0170,BRAND_A,4,1325000,5300000
502,1629589,2019-01-03,13309,Jakarta Selatan,DKI Jakarta,P2097,BRAND_L,10,590000,5900000
505,1629757,2019-01-03,17685,Yogyakarta,Yogyakarta,P0580,BRAND_B,6,695000,4170000
509,1629520,2019-01-03,13871,Yogyakarta,Yogyakarta,P3827,BRAND_V,24,450000,10800000
511,1629511,2019-01-03,17334,Malang,Jawa Timur,P2795,BRAND_P,12,747000,8964000
514,1629730,2019-01-03,15199,Surabaya,Jawa Timur,P2667,BRAND_P,6,1920000,11520000
515,1629727,2019-01-03,15090,Yogyakarta,Yogyakarta,P2946,BRAND_R,2,2795000,5590000
516,1629595,2019-01-03,16109,Jakarta Selatan,DKI Jakarta,P3196,BRAND_S,48,904000,43392000
518,1629589,2019-01-03,13309,Jakarta Selatan,DKI Jakarta,P1473,BRAND_F,24,159000,3816000
519,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P1250,BRAND_E,2,695000,1390000
520,1629727,2019-01-03,15090,Yogyakarta,Yogyakarta,P2091,BRAND_L,10,590000,5900000
522,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P0171,BRAND_A,4,1325000,5300000
523,1629769,2019-01-03,17293,Semarang,Jawa Tengah,P1656,BRAND_G,10,1325000,13250000
526,1629793,2019-01-03,13069,Surakarta,Jawa Tengah,P2590,BRAND_P,5,310000,1550000
528,1629523,2019-01-03,16938,Bogor,Jawa Barat,P3052,BRAND_R,12,450000,5400000
530,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P0937,BRAND_C,2,4475000,8950000
531,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P1809,BRAND_I,12,450000,5400000
533,1629520,2019-01-03,13871,Yogyakarta,Yogyakarta,P0327,BRAND_B,3,2095000,6285000
534,1629505,2019-01-03,13694,Semarang,Jawa Tengah,P2136,BRAND_M,48,660000,31680000
538,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P0255,BRAND_A,8,604000,4832000
539,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P2715,BRAND_P,6,1045000,6270000
541,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P3076,BRAND_R,2,2795000,5590000
542,1629793,2019-01-03,13069,Surakarta,Jawa Tengah,P1514,BRAND_G,5,310000,1550000
545,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P1118,BRAND_D,1,2795000,2795000
546,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P3197,BRAND_S,4,1745000,6980000
549,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P4009,BRAND_W,6,1045000,6270000
550,1629520,2019-01-03,13871,Yogyakarta,Yogyakarta,P4126,BRAND_W,25,159000,3975000
554,1629748,2019-01-03,13963,Jakarta Utara,DKI Jakarta,P2930,BRAND_R,10,450000,4500000
555,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P2922,BRAND_R,3,1745000,5235000
556,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P1838,BRAND_I,2,2987000,5974000
557,1629592,2019-01-03,12842,Jakarta Utara,DKI Jakarta,P3851,BRAND_V,24,159000,3816000
559,1629592,2019-01-03,12842,Jakarta Utara,DKI Jakarta,P1769,BRAND_H,12,240000,2880000
560,1629580,2019-01-03,13725,Surakarta,Jawa Tengah,P2218,BRAND_M,2,2987000,5974000
561,1629793,2019-01-03,13069,Surakarta,Jawa Tengah,P3744,BRAND_T,10,747000,7470000
562,1629793,2019-01-03,13069,Surakarta,Jawa Tengah,P2934,BRAND_R,5,604000,3020000
563,1629574,2019-01-03,13137,Surabaya,Jawa Timur,P3362,BRAND_S,1,310000,310000
564,1629754,2019-01-03,14194,Purwokerto,Jawa Tengah,P1913,BRAND_J,10,695000,6950000
565,1629706,2019-01-03,14462,Jakarta Pusat,DKI Jakarta,P2159,BRAND_M,1,310000,310000
567,1629574,2019-01-03,13137,Surabaya,Jawa Timur,P0031,BRAND_A,4,590000,2360000
568,1629739,2019-01-03,17315,Jakarta Selatan,DKI Jakarta,P0614,BRAND_B,2,450000,900000
569,1629523,2019-01-03,16938,Bogor,Jawa Barat,P0449,BRAND_B,6,1325000,7950000
572,1629697,2019-01-03,13113,Surakarta,Jawa Tengah,P2968,BRAND_R,16,3844000,61504000
573,1629757,2019-01-03,17685,Yogyakarta,Yogyakarta,P0449,BRAND_B,4,1465000,5860000
577,1629520,2019-01-03,13871,Yogyakarta,Yogyakarta,P1794,BRAND_H,12,520000,6240000
578,1629751,2019-01-03,13911,Jakarta Selatan,DKI Jakarta,P0128,BRAND_A,24,205000,4920000
579,1613344,2019-02-01,17341,Jakarta Utara,DKI Jakarta,P1805,BRAND_H,1,1395000,1395000
580,1613533,2019-02-01,17999,Bandung,Jawa Barat,P3575,BRAND_S,1,695000,695000
582,1613122,2019-02-01,14032,Yogyakarta,Yogyakarta,P2104,BRAND_L,12,695000,8340000
583,1613308,2019-02-01,15021,Jakarta Pusat,DKI Jakarta,P3358,BRAND_S,1,747000,747000
584,1613479,2019-02-01,15581,Jakarta Selatan,DKI Jakarta,P2959,BRAND_R,2,450000,900000
586,1613578,2019-02-01,14030,Bekasi,Jawa Barat,P0081,BRAND_A,3,747000,2241000
587,1613407,2019-02-01,13455,Yogyakarta,Yogyakarta,P2580,BRAND_P,6,904000,5424000
589,1613014,2019-02-01,13267,Yogyakarta,Yogyakarta,P1793,BRAND_H,12,450000,5400000
590,1613407,2019-02-01,13455,Yogyakarta,Yogyakarta,P2353,BRAND_N,2,2375000,4750000
591,1613320,2019-02-01,16016,Yogyakarta,Yogyakarta,P1616,BRAND_G,1,1325000,1325000
593,1613380,2019-02-01,15032,Jakarta Selatan,DKI Jakarta,P2093,BRAND_L,1,590000,590000
595,1613317,2019-02-01,18043,Depok,Jawa Barat,P2889,BRAND_R,1,2987000,2987000
596,1613017,2019-02-01,13050,Jakarta Timur,DKI Jakarta,P2625,BRAND_P,12,450000,5400000
598,1613263,2019-02-01,16081,Jakarta Utara,DKI Jakarta,P0884,BRAND_C,6,904000,5424000
600,1613317,2019-02-01,18043,Depok,Jawa Barat,P3029,BRAND_R,5,590000,2950000
601,1613419,2019-02-01,13113,Surakarta,Jawa Tengah,P3516,BRAND_S,10,310000,3100000
604,1613578,2019-02-01,14030,Bekasi,Jawa Barat,P3356,BRAND_S,2,450000,900000
606,1613344,2019-02-01,17341,Jakarta Utara,DKI Jakarta,P2813,BRAND_P,1,747000,747000
607,1613344,2019-02-01,17341,Jakarta Utara,DKI Jakarta,P4062,BRAND_W,2,590000,1180000
609,1613533,2019-02-01,17999,Bandung,Jawa Barat,P3019,BRAND_R,1,345000,345000
610,1613407,2019-02-01,13455,Yogyakarta,Yogyakarta,P0703,BRAND_C,12,1045000,12540000
611,1613326,2019-02-01,17722,Jakarta Selatan,DKI Jakarta,P1517,BRAND_G,25,159000,3975000
614,1613287,2019-02-01,16558,Jakarta Barat,DKI Jakarta,P1802,BRAND_H,4,1640000,6560000
615,1613467,2019-02-01,13523,Bandung,Jawa Barat,P3007,BRAND_R,2,3494000,6988000
618,1613521,2019-02-01,13531,Jakarta Barat,DKI Jakarta,P0055,BRAND_A,12,450000,5400000
623,1613566,2019-02-01,15996,Malang,Jawa Timur,P2568,BRAND_P,4,1045000,4180000
624,1613344,2019-02-01,17341,Jakarta Utara,DKI Jakarta,P1833,BRAND_I,1,2095000,2095000
625,1613293,2019-02-01,16893,Jakarta Utara,DKI Jakarta,P1554,BRAND_G,2,1045000,2090000
626,1613263,2019-02-01,16081,Jakarta Utara,DKI Jakarta,P3633,BRAND_S,2,1745000,3490000
627,1613458,2019-02-01,15298,Jakarta Timur,DKI Jakarta,P0128,BRAND_A,24,205000,4920000
628,1613296,2019-02-01,14606,Jakarta Barat,DKI Jakarta,P3629,BRAND_S,1,450000,450000
